"","GEOID","Tract","County","State","FDep","SDI","ReADI","SVI","NA_ADI","NSS7"
"6237","06037213402","Census Tract 2134.02"," Los Angeles County"," California",90,96,84,95,7,84
"6238","06037214000","Census Tract 2140"," Los Angeles County"," California",8,25,5,36,1,32
"6239","06037214100","Census Tract 2141"," Los Angeles County"," California",7,30,6,19,1,24
"6240","06037214400","Census Tract 2144"," Los Angeles County"," California",26,62,15,31,1,57
"6241","06037214501","Census Tract 2145.01"," Los Angeles County"," California",9,51,10,53,10,33
"6242","06037214503","Census Tract 2145.03"," Los Angeles County"," California",25,75,26,63,11,64
"6243","06037214504","Census Tract 2145.04"," Los Angeles County"," California",19,72,22,60,11,51
"6244","06037214505","Census Tract 2145.05"," Los Angeles County"," California",27,56,19,37,11,35
"6245","06037214600","Census Tract 2146"," Los Angeles County"," California",12,61,11,48,4,43
"6246","06037214700","Census Tract 2147"," Los Angeles County"," California",17,44,13,43,1,46
"6247","06037214800","Census Tract 2148"," Los Angeles County"," California",11,66,12,47,2,47
"6248","06037214902","Census Tract 2149.02"," Los Angeles County"," California",9,57,11,42,4,31
"6249","06037214903","Census Tract 2149.03"," Los Angeles County"," California",15,71,26,46,12,42
"6250","06037214904","Census Tract 2149.04"," Los Angeles County"," California",10,32,9,12,3,26
"6251","06037215101","Census Tract 2151.01"," Los Angeles County"," California",25,63,21,39,8,58
"6252","06037215102","Census Tract 2151.02"," Los Angeles County"," California",21,59,14,28,11,50
"6253","06037216100","Census Tract 2161"," Los Angeles County"," California",16,54,9,48,1,31
"6254","06037216201","Census Tract 2162.01"," Los Angeles County"," California",7,40,10,14,1,13
"6255","06037216202","Census Tract 2162.02"," Los Angeles County"," California",21,49,16,42,3,43
"6256","06037216301","Census Tract 2163.01"," Los Angeles County"," California",8,30,7,15,1,17
"6257","06037216302","Census Tract 2163.02"," Los Angeles County"," California",19,53,21,35,5,36
"6258","06037216401","Census Tract 2164.01"," Los Angeles County"," California",18,63,18,70,7,51
"6259","06037216402","Census Tract 2164.02"," Los Angeles County"," California",23,51,19,43,8,52
"6260","06037216700","Census Tract 2167"," Los Angeles County"," California",20,58,21,62,3,32
"6261","06037216800","Census Tract 2168"," Los Angeles County"," California",16,42,8,49,1,33
"6262","06037216901","Census Tract 2169.01"," Los Angeles County"," California",10,40,16,22,3,28
"6263","06037216902","Census Tract 2169.02"," Los Angeles County"," California",47,89,46,82,2,82
"6264","06037217001","Census Tract 2170.01"," Los Angeles County"," California",19,43,10,58,2,47
"6265","06037217002","Census Tract 2170.02"," Los Angeles County"," California",15,59,21,60,2,48
"6266","06037217101","Census Tract 2171.01"," Los Angeles County"," California",93,88,53,74,6,86
"6267","06037217102","Census Tract 2171.02"," Los Angeles County"," California",21,57,21,46,4,31
"6268","06037217200","Census Tract 2172"," Los Angeles County"," California",63,77,43,88,3,66
"6269","06037218110","Census Tract 2181.10"," Los Angeles County"," California",88,96,76,98,6,90
"6270","06037218120","Census Tract 2181.20"," Los Angeles County"," California",90,97,80,96,11,91
"6271","06037218210","Census Tract 2182.10"," Los Angeles County"," California",94,91,80,94,7,88
"6272","06037218220","Census Tract 2182.20"," Los Angeles County"," California",72,82,54,91,4,76
"6273","06037218300","Census Tract 2183"," Los Angeles County"," California",83,81,59,72,6,79
"6274","06037218400","Census Tract 2184"," Los Angeles County"," California",74,80,52,84,9,72
"6275","06037218500","Census Tract 2185"," Los Angeles County"," California",83,95,70,89,7,86
"6276","06037218600","Census Tract 2186"," Los Angeles County"," California",50,76,36,78,10,59
"6277","06037218701","Census Tract 2187.01"," Los Angeles County"," California",79,88,62,93,6,79
"6278","06037218702","Census Tract 2187.02"," Los Angeles County"," California",95,91,81,95,11,88
"6279","06037218800","Census Tract 2188"," Los Angeles County"," California",77,93,76,97,9,77
"6280","06037218900","Census Tract 2189"," Los Angeles County"," California",87,94,76,97,4,84
"6281","06037219010","Census Tract 2190.10"," Los Angeles County"," California",77,79,58,82,9,76
"6282","06037219020","Census Tract 2190.20"," Los Angeles County"," California",80,94,72,84,10,86
"6283","06037219300","Census Tract 2193"," Los Angeles County"," California",81,89,73,81,9,82
"6284","06037219500","Census Tract 2195"," Los Angeles County"," California",23,41,26,58,7,46
"6285","06037219700","Census Tract 2197"," Los Angeles County"," California",73,85,75,85,12,73
"6286","06037219800","Census Tract 2198"," Los Angeles County"," California",87,80,57,78,14,74
"6287","06037219901","Census Tract 2199.01"," Los Angeles County"," California",91,86,81,94,11,82
"6288","06037219902","Census Tract 2199.02"," Los Angeles County"," California",86,80,60,70,7,74
"6289","06037220000","Census Tract 2200"," Los Angeles County"," California",78,96,76,91,9,92
"6290","06037220100","Census Tract 2201"," Los Angeles County"," California",65,67,55,79,5,72
"6291","06037221110","Census Tract 2211.10"," Los Angeles County"," California",99,99,93,99,5,93
"6292","06037221120","Census Tract 2211.20"," Los Angeles County"," California",98,99,93,97,7,93
"6293","06037221210","Census Tract 2212.10"," Los Angeles County"," California",88,84,72,88,8,82
"6294","06037221220","Census Tract 2212.20"," Los Angeles County"," California",94,94,84,93,12,88
"6295","06037221302","Census Tract 2213.02"," Los Angeles County"," California",98,99,94,97,9,96
"6296","06037221303","Census Tract 2213.03"," Los Angeles County"," California",98,99,89,97,4,94
"6297","06037221304","Census Tract 2213.04"," Los Angeles County"," California",93,92,84,99,16,91
"6298","06037221401","Census Tract 2214.01"," Los Angeles County"," California",82,93,85,99,7,85
"6299","06037221402","Census Tract 2214.02"," Los Angeles County"," California",84,92,74,98,4,85
"6300","06037221500","Census Tract 2215"," Los Angeles County"," California",95,99,93,99,7,93
"6301","06037221601","Census Tract 2216.01"," Los Angeles County"," California",96,98,86,99,11,92
"6302","06037221602","Census Tract 2216.02"," Los Angeles County"," California",95,89,86,84,17,84
"6303","06037221710","Census Tract 2217.10"," Los Angeles County"," California",96,100,89,94,15,94
"6304","06037221810","Census Tract 2218.10"," Los Angeles County"," California",90,99,91,90,7,94
"6305","06037221820","Census Tract 2218.20"," Los Angeles County"," California",82,97,85,75,8,95
"6306","06037221900","Census Tract 2219"," Los Angeles County"," California",96,100,96,90,13,98
"6307","06037222001","Census Tract 2220.01"," Los Angeles County"," California",75,86,56,86,8,77
"6308","06037222002","Census Tract 2220.02"," Los Angeles County"," California",93,93,73,97,16,85
"6309","06037222100","Census Tract 2221"," Los Angeles County"," California",93,86,75,97,8,86
"6310","06037222200","Census Tract 2222"," Los Angeles County"," California",93,92,77,90,9,87
"6311","06037222500","Census Tract 2225"," Los Angeles County"," California",88,85,67,87,12,77
"6312","06037222600","Census Tract 2226"," Los Angeles County"," California",89,100,85,93,13,94
"6313","06037222700","Census Tract 2227"," Los Angeles County"," California",34,91,77,61,NA,88
"6314","06037224010","Census Tract 2240.10"," Los Angeles County"," California",72,98,76,90,13,88
"6315","06037224020","Census Tract 2240.20"," Los Angeles County"," California",98,100,97,99,14,98
"6316","06037224200","Census Tract 2242"," Los Angeles County"," California",97,97,90,96,9,95
"6317","06037224310","Census Tract 2243.10"," Los Angeles County"," California",92,99,90,100,7,93
"6318","06037224320","Census Tract 2243.20"," Los Angeles County"," California",99,100,99,100,14,98
"6319","06037224410","Census Tract 2244.10"," Los Angeles County"," California",84,100,85,94,14,93
"6320","06037224420","Census Tract 2244.20"," Los Angeles County"," California",100,100,99,99,6,99
"6321","06037224600","Census Tract 2246"," Los Angeles County"," California",98,97,93,99,21,94
"6322","06037224701","Census Tract 2247.01"," Los Angeles County"," California",64,88,78,68,NA,91
"6323","06037224702","Census Tract 2247.02"," Los Angeles County"," California",88,99,97,84,NA,97
"6324","06037226001","Census Tract 2260.01"," Los Angeles County"," California",99,98,92,95,27,95
"6325","06037226002","Census Tract 2260.02"," Los Angeles County"," California",80,98,78,90,17,92
"6326","06037226410","Census Tract 2264.10"," Los Angeles County"," California",100,100,97,98,10,98
"6327","06037226420","Census Tract 2264.20"," Los Angeles County"," California",100,98,96,95,20,96
"6328","06037226701","Census Tract 2267.01"," Los Angeles County"," California",93,89,81,86,27,89
"6329","06037226702","Census Tract 2267.02"," Los Angeles County"," California",98,98,92,95,21,96
"6330","06037227010","Census Tract 2270.10"," Los Angeles County"," California",100,99,96,96,27,97
"6331","06037227020","Census Tract 2270.20"," Los Angeles County"," California",98,85,85,95,27,91
"6332","06037228100","Census Tract 2281"," Los Angeles County"," California",98,94,92,87,20,92
"6333","06037228210","Census Tract 2282.10"," Los Angeles County"," California",100,97,95,96,27,97
"6334","06037228220","Census Tract 2282.20"," Los Angeles County"," California",99,99,93,99,23,95
"6335","06037228310","Census Tract 2283.10"," Los Angeles County"," California",99,99,97,97,35,97
"6336","06037228320","Census Tract 2283.20"," Los Angeles County"," California",100,98,94,87,26,96
"6337","06037228410","Census Tract 2284.10"," Los Angeles County"," California",98,97,92,91,22,92
"6338","06037228420","Census Tract 2284.20"," Los Angeles County"," California",98,97,84,87,13,92
"6339","06037228500","Census Tract 2285"," Los Angeles County"," California",99,100,97,95,29,96
"6340","06037228600","Census Tract 2286"," Los Angeles County"," California",99,99,95,96,22,97
"6341","06037228710","Census Tract 2287.10"," Los Angeles County"," California",98,98,91,96,33,94
"6342","06037228720","Census Tract 2287.20"," Los Angeles County"," California",100,96,93,90,25,95
"6343","06037228800","Census Tract 2288"," Los Angeles County"," California",99,96,92,91,25,93
"6344","06037228900","Census Tract 2289"," Los Angeles County"," California",100,100,97,98,20,98
"6345","06037229100","Census Tract 2291"," Los Angeles County"," California",98,97,88,90,21,93
"6346","06037229200","Census Tract 2292"," Los Angeles County"," California",100,95,93,93,25,95
"6347","06037229300","Census Tract 2293"," Los Angeles County"," California",99,98,93,99,20,97
"6348","06037229410","Census Tract 2294.10"," Los Angeles County"," California",97,96,90,92,21,95
"6349","06037229420","Census Tract 2294.20"," Los Angeles County"," California",99,99,95,94,25,97
"6350","06037231100","Census Tract 2311"," Los Angeles County"," California",99,100,96,99,18,98
"6351","06037231210","Census Tract 2312.10"," Los Angeles County"," California",98,99,95,94,17,94
"6352","06037231220","Census Tract 2312.20"," Los Angeles County"," California",98,99,94,100,22,97
"6353","06037231301","Census Tract 2313.01"," Los Angeles County"," California",97,87,80,95,16,89
"6354","06037231302","Census Tract 2313.02"," Los Angeles County"," California",87,67,63,84,13,83
"6355","06037231400","Census Tract 2314"," Los Angeles County"," California",88,97,84,93,15,89
"6356","06037231500","Census Tract 2315"," Los Angeles County"," California",84,79,61,88,14,80
"6357","06037231601","Census Tract 2316.01"," Los Angeles County"," California",93,84,64,82,13,86
"6358","06037231602","Census Tract 2316.02"," Los Angeles County"," California",87,68,55,57,17,72
"6359","06037231603","Census Tract 2316.03"," Los Angeles County"," California",96,100,89,99,11,95
"6360","06037231710","Census Tract 2317.10"," Los Angeles County"," California",99,98,94,98,17,94
"6361","06037231720","Census Tract 2317.20"," Los Angeles County"," California",99,100,95,99,28,97
"6362","06037231800","Census Tract 2318"," Los Angeles County"," California",100,99,95,96,18,97
"6363","06037231901","Census Tract 2319.01"," Los Angeles County"," California",98,93,88,87,28,91
"6364","06037231902","Census Tract 2319.02"," Los Angeles County"," California",98,100,96,98,16,97
"6365","06037232110","Census Tract 2321.10"," Los Angeles County"," California",98,99,93,99,22,94
"6366","06037232120","Census Tract 2321.20"," Los Angeles County"," California",97,98,91,97,20,95
"6367","06037232200","Census Tract 2322"," Los Angeles County"," California",90,94,79,99,17,91
"6368","06037232300","Census Tract 2323"," Los Angeles County"," California",87,84,75,91,17,78
"6369","06037232401","Census Tract 2324.01"," Los Angeles County"," California",91,81,69,86,18,83
"6370","06037232402","Census Tract 2324.02"," Los Angeles County"," California",95,90,87,93,19,87
"6371","06037232500","Census Tract 2325"," Los Angeles County"," California",94,87,82,94,19,87
"6372","06037232601","Census Tract 2326.01"," Los Angeles County"," California",97,87,87,89,20,88
"6373","06037232602","Census Tract 2326.02"," Los Angeles County"," California",92,94,76,93,15,90
"6374","06037232701","Census Tract 2327.01"," Los Angeles County"," California",95,92,86,93,16,89
"6375","06037232702","Census Tract 2327.02"," Los Angeles County"," California",96,87,79,90,18,87
"6376","06037232800","Census Tract 2328"," Los Angeles County"," California",98,97,92,93,20,94
"6377","06037234001","Census Tract 2340.01"," Los Angeles County"," California",37,58,39,58,7,37
"6378","06037234002","Census Tract 2340.02"," Los Angeles County"," California",89,87,75,72,8,76
"6379","06037234200","Census Tract 2342"," Los Angeles County"," California",56,48,45,58,7,58
"6380","06037234301","Census Tract 2343.01"," Los Angeles County"," California",53,61,44,32,6,76
"6381","06037234302","Census Tract 2343.02"," Los Angeles County"," California",64,84,66,61,11,83
"6382","06037234501","Census Tract 2345.01"," Los Angeles County"," California",76,59,44,88,11,69
"6383","06037234502","Census Tract 2345.02"," Los Angeles County"," California",87,88,83,93,15,92
"6384","06037234600","Census Tract 2346"," Los Angeles County"," California",75,80,60,90,13,84
"6385","06037234700","Census Tract 2347"," Los Angeles County"," California",81,90,73,96,14,83
"6386","06037234800","Census Tract 2348"," Los Angeles County"," California",86,75,65,80,16,76
"6387","06037234901","Census Tract 2349.01"," Los Angeles County"," California",90,96,86,98,26,90
"6388","06037234902","Census Tract 2349.02"," Los Angeles County"," California",94,95,94,99,12,94
"6389","06037235100","Census Tract 2351"," Los Angeles County"," California",31,49,26,58,7,62
"6390","06037235201","Census Tract 2352.01"," Los Angeles County"," California",59,81,79,93,21,78
"6391","06037235202","Census Tract 2352.02"," Los Angeles County"," California",82,97,89,95,17,89
"6392","06037236001","Census Tract 2360.01"," Los Angeles County"," California",12,25,12,22,8,25
"6393","06037236101","Census Tract 2361.01"," Los Angeles County"," California",82,91,82,95,13,88
"6394","06037236102","Census Tract 2361.02"," Los Angeles County"," California",76,88,55,82,21,79
"6395","06037236203","Census Tract 2362.03"," Los Angeles County"," California",93,98,94,96,14,89
"6396","06037236204","Census Tract 2362.04"," Los Angeles County"," California",90,98,89,96,13,94
"6397","06037236205","Census Tract 2362.05"," Los Angeles County"," California",90,100,98,92,14,96
"6398","06037236206","Census Tract 2362.06"," Los Angeles County"," California",95,97,82,96,13,92
"6399","06037236400","Census Tract 2364"," Los Angeles County"," California",15,46,19,50,4,28
"6400","06037237101","Census Tract 2371.01"," Los Angeles County"," California",97,94,91,93,17,94
"6401","06037237102","Census Tract 2371.02"," Los Angeles County"," California",96,98,92,97,23,95
"6402","06037237201","Census Tract 2372.01"," Los Angeles County"," California",99,93,90,89,22,91
"6403","06037237202","Census Tract 2372.02"," Los Angeles County"," California",98,98,91,99,22,96
"6404","06037237300","Census Tract 2373"," Los Angeles County"," California",67,86,60,89,17,81
"6405","06037237401","Census Tract 2374.01"," Los Angeles County"," California",88,92,76,81,24,85
"6406","06037237402","Census Tract 2374.02"," Los Angeles County"," California",76,53,53,86,23,72
"6407","06037237500","Census Tract 2375"," Los Angeles County"," California",99,100,98,99,30,97
"6408","06037237600","Census Tract 2376"," Los Angeles County"," California",99,98,93,100,29,96
"6409","06037237710","Census Tract 2377.10"," Los Angeles County"," California",95,98,91,88,35,92
"6410","06037237720","Census Tract 2377.20"," Los Angeles County"," California",93,100,93,95,33,96
"6411","06037237800","Census Tract 2378"," Los Angeles County"," California",91,85,85,94,21,86
"6412","06037237900","Census Tract 2379"," Los Angeles County"," California",80,86,71,92,17,81
"6413","06037238000","Census Tract 2380"," Los Angeles County"," California",83,81,60,86,19,77
"6414","06037238100","Census Tract 2381"," Los Angeles County"," California",62,85,72,84,22,75
"6415","06037238200","Census Tract 2382"," Los Angeles County"," California",84,90,82,95,20,85
"6416","06037238310","Census Tract 2383.10"," Los Angeles County"," California",96,99,90,99,18,96
"6417","06037238320","Census Tract 2383.20"," Los Angeles County"," California",98,100,97,99,20,98
"6418","06037238400","Census Tract 2384"," Los Angeles County"," California",65,75,55,83,14,67
"6419","06037239201","Census Tract 2392.01"," Los Angeles County"," California",97,94,87,88,21,89
"6420","06037239202","Census Tract 2392.02"," Los Angeles County"," California",99,98,96,99,20,97
"6421","06037239310","Census Tract 2393.10"," Los Angeles County"," California",98,93,86,92,19,89
"6422","06037239320","Census Tract 2393.20"," Los Angeles County"," California",99,96,94,94,19,93
"6423","06037239330","Census Tract 2393.30"," Los Angeles County"," California",98,98,91,82,28,90
"6424","06037239501","Census Tract 2395.01"," Los Angeles County"," California",96,97,88,97,26,91
"6425","06037239502","Census Tract 2395.02"," Los Angeles County"," California",95,90,85,95,24,90
"6426","06037239601","Census Tract 2396.01"," Los Angeles County"," California",96,96,88,98,26,90
"6427","06037239602","Census Tract 2396.02"," Los Angeles County"," California",98,99,95,99,24,95
"6428","06037239701","Census Tract 2397.01"," Los Angeles County"," California",99,99,97,96,30,97
"6429","06037239702","Census Tract 2397.02"," Los Angeles County"," California",99,99,96,99,24,97
"6430","06037239801","Census Tract 2398.01"," Los Angeles County"," California",95,95,85,97,25,90
"6431","06037239802","Census Tract 2398.02"," Los Angeles County"," California",97,97,88,95,24,95
"6432","06037240010","Census Tract 2400.10"," Los Angeles County"," California",100,100,99,99,50,99
"6433","06037240020","Census Tract 2400.20"," Los Angeles County"," California",98,91,86,99,24,94
"6434","06037240200","Census Tract 2402"," Los Angeles County"," California",98,99,92,98,30,96
"6435","06037240301","Census Tract 2403.01"," Los Angeles County"," California",96,99,91,100,23,94
"6436","06037240302","Census Tract 2403.02"," Los Angeles County"," California",100,98,93,99,25,96
"6437","06037240401","Census Tract 2404.01"," Los Angeles County"," California",99,96,93,96,27,94
"6438","06037240402","Census Tract 2404.02"," Los Angeles County"," California",93,95,81,94,27,92
"6439","06037240500","Census Tract 2405"," Los Angeles County"," California",98,99,91,96,26,95
"6440","06037240600","Census Tract 2406"," Los Angeles County"," California",98,96,90,99,28,95
"6441","06037240700","Census Tract 2407"," Los Angeles County"," California",96,89,86,98,27,91
"6442","06037240800","Census Tract 2408"," Los Angeles County"," California",97,98,91,96,26,95
"6443","06037240901","Census Tract 2409.01"," Los Angeles County"," California",98,92,89,88,26,93
"6444","06037240902","Census Tract 2409.02"," Los Angeles County"," California",100,99,96,98,25,96
"6445","06037241001","Census Tract 2410.01"," Los Angeles County"," California",89,89,75,92,25,85
"6446","06037241002","Census Tract 2410.02"," Los Angeles County"," California",97,93,81,98,21,93
"6447","06037241110","Census Tract 2411.10"," Los Angeles County"," California",93,80,84,90,26,87
"6448","06037241120","Census Tract 2411.20"," Los Angeles County"," California",99,100,97,100,23,98
"6449","06037241201","Census Tract 2412.01"," Los Angeles County"," California",90,92,81,98,24,90
"6450","06037241202","Census Tract 2412.02"," Los Angeles County"," California",89,95,86,93,22,85
"6451","06037241300","Census Tract 2413"," Los Angeles County"," California",96,95,84,96,19,91
"6452","06037241400","Census Tract 2414"," Los Angeles County"," California",94,86,74,97,25,88
"6453","06037242000","Census Tract 2420"," Los Angeles County"," California",94,97,91,100,24,94
"6454","06037242100","Census Tract 2421"," Los Angeles County"," California",100,100,100,98,14,100
"6455","06037242201","Census Tract 2422.01"," Los Angeles County"," California",98,96,92,95,30,93
"6456","06037242202","Census Tract 2422.02"," Los Angeles County"," California",99,99,94,99,34,98
"6457","06037242300","Census Tract 2423"," Los Angeles County"," California",100,98,93,100,26,97
"6458","06037242600","Census Tract 2426"," Los Angeles County"," California",100,100,100,99,25,100
"6459","06037242700","Census Tract 2427"," Los Angeles County"," California",95,90,88,92,26,87
"6460","06037243001","Census Tract 2430.01"," Los Angeles County"," California",97,86,83,92,27,94
"6461","06037243002","Census Tract 2430.02"," Los Angeles County"," California",99,38,76,65,26,87
"6462","06037243100","Census Tract 2431"," Los Angeles County"," California",99,100,98,99,41,98
"6463","06037261102","Census Tract 2611.02"," Los Angeles County"," California",1,15,2,4,1,16
"6464","06037261103","Census Tract 2611.03"," Los Angeles County"," California",2,19,1,10,1,19
"6465","06037261104","Census Tract 2611.04"," Los Angeles County"," California",2,25,2,9,1,15
"6466","06037261200","Census Tract 2612"," Los Angeles County"," California",4,17,4,9,1,19
"6467","06037262100","Census Tract 2621"," Los Angeles County"," California",3,16,2,17,1,23
"6468","06037262200","Census Tract 2622"," Los Angeles County"," California",3,18,3,25,1,13
"6469","06037262301","Census Tract 2623.01"," Los Angeles County"," California",1,25,1,21,1,18
"6470","06037262302","Census Tract 2623.02"," Los Angeles County"," California",1,29,3,12,1,9
"6471","06037262303","Census Tract 2623.03"," Los Angeles County"," California",0,6,1,7,1,2
"6472","06037262400","Census Tract 2624"," Los Angeles County"," California",0,4,1,10,1,0
"6473","06037262501","Census Tract 2625.01"," Los Angeles County"," California",0,6,1,16,1,11
"6474","06037262601","Census Tract 2626.01"," Los Angeles County"," California",0,10,1,13,1,7
"6475","06037262604","Census Tract 2626.04"," Los Angeles County"," California",0,23,2,17,1,10
"6476","06037262704","Census Tract 2627.04"," Los Angeles County"," California",3,16,4,37,1,11
"6477","06037262706","Census Tract 2627.06"," Los Angeles County"," California",2,14,3,21,1,15
"6478","06037262802","Census Tract 2628.02"," Los Angeles County"," California",2,18,4,10,1,20
"6479","06037264000","Census Tract 2640"," Los Angeles County"," California",2,11,2,19,1,17
"6480","06037264102","Census Tract 2641.02"," Los Angeles County"," California",4,45,5,19,4,24
"6481","06037264103","Census Tract 2641.03"," Los Angeles County"," California",4,25,4,12,6,12
"6482","06037264303","Census Tract 2643.03"," Los Angeles County"," California",4,28,4,4,6,21
"6483","06037264304","Census Tract 2643.04"," Los Angeles County"," California",5,17,6,7,5,20
"6484","06037264305","Census Tract 2643.05"," Los Angeles County"," California",7,33,11,34,2,37
"6485","06037264306","Census Tract 2643.06"," Los Angeles County"," California",5,25,6,7,1,5
"6486","06037265100","Census Tract 2651"," Los Angeles County"," California",7,60,11,37,1,41
"6487","06037265201","Census Tract 2652.01"," Los Angeles County"," California",15,52,9,67,4,52
"6488","06037265203","Census Tract 2652.03"," Los Angeles County"," California",15,71,19,28,2,47
"6489","06037265204","Census Tract 2652.04"," Los Angeles County"," California",23,89,37,71,11,84
"6490","06037265301","Census Tract 2653.01"," Los Angeles County"," California",39,1,11,0,NA,26
"6491","06037265303","Census Tract 2653.03"," Los Angeles County"," California",35,86,80,47,8,86
"6492","06037265304","Census Tract 2653.04"," Los Angeles County"," California",68,91,95,61,15,95
"6493","06037265306","Census Tract 2653.06"," Los Angeles County"," California",62,99,87,80,13,97
"6494","06037265307","Census Tract 2653.07"," Los Angeles County"," California",37,75,68,42,14,85
"6495","06037265410","Census Tract 2654.10"," Los Angeles County"," California",3,20,5,9,1,8
"6496","06037265420","Census Tract 2654.20"," Los Angeles County"," California",0,31,1,25,1,11
"6497","06037265521","Census Tract 2655.21"," Los Angeles County"," California",10,65,19,30,8,28
"6498","06037265522","Census Tract 2655.22"," Los Angeles County"," California",10,73,18,51,16,38
"6499","06037265523","Census Tract 2655.23"," Los Angeles County"," California",17,20,16,9,7,3
"6500","06037265524","Census Tract 2655.24"," Los Angeles County"," California",8,35,8,24,4,19
"6501","06037265601","Census Tract 2656.01"," Los Angeles County"," California",11,43,20,50,3,22
"6502","06037265602","Census Tract 2656.02"," Los Angeles County"," California",33,50,20,45,2,53
"6503","06037265701","Census Tract 2657.01"," Los Angeles County"," California",16,28,11,46,1,21
"6504","06037265702","Census Tract 2657.02"," Los Angeles County"," California",19,48,19,60,2,45
"6505","06037267101","Census Tract 2671.01"," Los Angeles County"," California",9,44,9,34,4,26
"6506","06037267102","Census Tract 2671.02"," Los Angeles County"," California",4,44,11,30,4,29
"6507","06037267201","Census Tract 2672.01"," Los Angeles County"," California",8,39,12,17,3,19
"6508","06037267202","Census Tract 2672.02"," Los Angeles County"," California",11,51,10,40,3,41
"6509","06037267300","Census Tract 2673"," Los Angeles County"," California",41,81,31,72,14,68
"6510","06037267403","Census Tract 2674.03"," Los Angeles County"," California",28,67,17,31,8,52
"6511","06037267404","Census Tract 2674.04"," Los Angeles County"," California",14,73,26,24,6,50
"6512","06037267405","Census Tract 2674.05"," Los Angeles County"," California",7,43,9,32,7,14
"6513","06037267406","Census Tract 2674.06"," Los Angeles County"," California",18,40,14,39,8,30
"6514","06037267502","Census Tract 2675.02"," Los Angeles County"," California",38,64,29,59,3,48
"6515","06037267503","Census Tract 2675.03"," Los Angeles County"," California",8,42,8,20,4,21
"6516","06037267504","Census Tract 2675.04"," Los Angeles County"," California",14,47,14,38,7,36
"6517","06037267600","Census Tract 2676"," Los Angeles County"," California",19,54,25,29,3,32
"6518","06037267700","Census Tract 2677"," Los Angeles County"," California",8,42,9,38,5,22
"6519","06037267800","Census Tract 2678"," Los Angeles County"," California",11,29,11,40,2,12
"6520","06037267901","Census Tract 2679.01"," Los Angeles County"," California",13,39,11,45,2,34
"6521","06037267902","Census Tract 2679.02"," Los Angeles County"," California",3,26,3,23,1,14
"6522","06037269000","Census Tract 2690"," Los Angeles County"," California",2,9,3,16,1,5
"6523","06037269100","Census Tract 2691"," Los Angeles County"," California",24,64,19,56,1,53
"6524","06037269300","Census Tract 2693"," Los Angeles County"," California",1,9,1,11,1,17
"6525","06037269500","Census Tract 2695"," Los Angeles County"," California",1,1,1,5,1,9
"6526","06037269601","Census Tract 2696.01"," Los Angeles County"," California",88,71,55,78,12,76
"6527","06037269602","Census Tract 2696.02"," Los Angeles County"," California",68,85,51,82,3,67
"6528","06037269700","Census Tract 2697"," Los Angeles County"," California",21,62,16,50,3,37
"6529","06037269800","Census Tract 2698"," Los Angeles County"," California",8,45,9,36,10,23
"6530","06037269903","Census Tract 2699.03"," Los Angeles County"," California",17,52,17,46,6,28
"6531","06037269905","Census Tract 2699.05"," Los Angeles County"," California",16,56,11,35,10,40
"6532","06037269906","Census Tract 2699.06"," Los Angeles County"," California",10,43,9,39,8,17
"6533","06037269907","Census Tract 2699.07"," Los Angeles County"," California",23,58,17,40,9,43
"6534","06037269908","Census Tract 2699.08"," Los Angeles County"," California",11,38,10,28,11,21
"6535","06037269909","Census Tract 2699.09"," Los Angeles County"," California",14,33,14,66,6,29
"6536","06037270101","Census Tract 2701.01"," Los Angeles County"," California",21,70,19,20,28,40
"6537","06037270102","Census Tract 2701.02"," Los Angeles County"," California",29,44,22,47,7,27
"6538","06037270200","Census Tract 2702"," Los Angeles County"," California",48,75,36,77,4,56
"6539","06037270300","Census Tract 2703"," Los Angeles County"," California",48,41,31,60,4,38
"6540","06037271100","Census Tract 2711"," Los Angeles County"," California",22,60,20,70,2,47
"6541","06037271200","Census Tract 2712"," Los Angeles County"," California",17,58,19,44,7,39
"6542","06037271300","Census Tract 2713"," Los Angeles County"," California",18,48,16,33,2,42
"6543","06037271400","Census Tract 2714"," Los Angeles County"," California",3,4,3,9,2,1
"6544","06037271500","Census Tract 2715"," Los Angeles County"," California",10,44,15,50,1,28
"6545","06037271600","Census Tract 2716"," Los Angeles County"," California",8,48,11,30,1,21
"6546","06037271702","Census Tract 2717.02"," Los Angeles County"," California",30,74,27,78,6,61
"6547","06037271703","Census Tract 2717.03"," Los Angeles County"," California",8,28,9,9,6,11
"6548","06037271704","Census Tract 2717.04"," Los Angeles County"," California",4,44,4,35,2,25
"6549","06037271801","Census Tract 2718.01"," Los Angeles County"," California",33,65,27,57,4,41
"6550","06037271803","Census Tract 2718.03"," Los Angeles County"," California",46,77,27,55,17,63
"6551","06037271804","Census Tract 2718.04"," Los Angeles County"," California",28,26,14,38,2,25
"6552","06037271901","Census Tract 2719.01"," Los Angeles County"," California",21,37,11,38,2,14
"6553","06037271902","Census Tract 2719.02"," Los Angeles County"," California",28,45,20,45,1,43
"6554","06037272100","Census Tract 2721"," Los Angeles County"," California",16,39,14,51,2,42
"6555","06037272201","Census Tract 2722.01"," Los Angeles County"," California",53,68,30,70,3,51
"6556","06037272202","Census Tract 2722.02"," Los Angeles County"," California",29,62,22,39,5,42
"6557","06037272301","Census Tract 2723.01"," Los Angeles County"," California",12,52,11,65,2,41
